home_team,away_team,game_date,home_result
Providence Steamrollers,St. Louis Bombers,02 December 1947,L
Boston Celtics,Baltimore Bullets,02 December 1947,L
Chicago Stags,Washington Capitols,03 December 1947,W
Philadelphia Warriors,Baltimore Bullets,03 December 1947,L
Baltimore Bullets,St. Louis Bombers,04 December 1947,L
Boston Celtics,Providence Steamrollers,05 December 1947,W
Chicago Stags,Baltimore Bullets,06 December 1947,W
Providence Steamrollers,New York Knicks,06 December 1947,L
New York Knicks,St. Louis Bombers,08 December 1947,W
Philadelphia Warriors,Providence Steamrollers,09 December 1947,W
Boston Celtics,New York Knicks,10 December 1947,L
Philadelphia Warriors,St. Louis Bombers,11 December 1947,L
Baltimore Bullets,Washington Capitols,11 December 1947,L
Boston Celtics,Philadelphia Warriors,12 December 1947,W
Chicago Stags,St. Louis Bombers,12 December 1947,L
Washington Capitols,Providence Steamrollers,13 December 1947,W
Baltimore Bullets,New York Knicks,13 December 1947,L
New York Knicks,Philadelphia Warriors,15 December 1947,L
Washington Capitols,Baltimore Bullets,17 December 1947,W
Boston Celtics,Providence Steamrollers,17 December 1947,W
Baltimore Bullets,St. Louis Bombers,18 December 1947,W
Philadelphia Warriors,New York Knicks,18 December 1947,L
Chicago Stags,Washington Capitols,18 December 1947,L
Boston Celtics,St. Louis Bombers,19 December 1947,W
New York Knicks,Boston Celtics,20 December 1947,W
Providence Steamrollers,Philadelphia Warriors,20 December 1947,L
Washington Capitols,St. Louis Bombers,20 December 1947,L
Chicago Stags,Baltimore Bullets,21 December 1947,W
Boston Celtics,Chicago Stags,23 December 1947,L
Providence Steamrollers,New York Knicks,23 December 1947,W
New York Knicks,Providence Steamrollers,25 December 1947,W
Baltimore Bullets,Chicago Stags,25 December 1947,W
St. Louis Bombers,Washington Capitols,25 December 1947,L
Philadelphia Warriors,Providence Steamrollers,26 December 1947,W
New York Knicks,Chicago Stags,27 December 1947,L
Boston Celtics,Providence Steamrollers,27 December 1947,W
Washington Capitols,Philadelphia Warriors,27 December 1947,W
St. Louis Bombers,Baltimore Bullets,28 December 1947,W
Boston Celtics,Philadelphia Warriors,30 December 1947,W
Providence Steamrollers,Chicago Stags,30 December 1947,L
St. Louis Bombers,Boston Celtics,01 January 1948,W
Baltimore Bullets,Philadelphia Warriors,01 January 1948,L
Philadelphia Warriors,Washington Capitols,02 January 1948,W
New York Knicks,Baltimore Bullets,03 January 1948,L
Washington Capitols,Boston Celtics,03 January 1948,W
