home_team,away_team,game_date,home_result
St. Louis Bombers,Boston Celtics,26 February 1948,W
Philadelphia Warriors,Chicago Stags,26 February 1948,W
Chicago Stags,Boston Celtics,27 February 1948,L
New York Knicks,Baltimore Bullets,28 February 1948,L
St. Louis Bombers,Washington Capitols,28 February 1948,W
Providence Steamrollers,Philadelphia Warriors,28 February 1948,L
Chicago Stags,Washington Capitols,29 February 1948,W
Boston Celtics,Baltimore Bullets,29 February 1948,W
Philadelphia Warriors,New York Knicks,02 March 1948,W
Baltimore Bullets,St. Louis Bombers,04 March 1948,W
Philadelphia Warriors,Boston Celtics,04 March 1948,W
Boston Celtics,St. Louis Bombers,05 March 1948,W
New York Knicks,Washington Capitols,06 March 1948,W
Baltimore Bullets,Boston Celtics,06 March 1948,W
Chicago Stags,Providence Steamrollers,07 March 1948,W
Philadelphia Warriors,Chicago Stags,09 March 1948,L
Providence Steamrollers,St. Louis Bombers,09 March 1948,L
Washington Capitols,Chicago Stags,10 March 1948,L
New York Knicks,St. Louis Bombers,10 March 1948,L
Baltimore Bullets,Chicago Stags,11 March 1948,W
Philadelphia Warriors,St. Louis Bombers,11 March 1948,W
Baltimore Bullets,Philadelphia Warriors,13 March 1948,W
Providence Steamrollers,Boston Celtics,13 March 1948,L
Washington Capitols,St. Louis Bombers,13 March 1948,W
Chicago Stags,New York Knicks,13 March 1948,W
Boston Celtics,Washington Capitols,16 March 1948,L
Providence Steamrollers,Philadelphia Warriors,16 March 1948,L
Washington Capitols,Providence Steamrollers,17 March 1948,W
St. Louis Bombers,New York Knicks,18 March 1948,L
Chicago Stags,Boston Celtics,18 March 1948,L
Baltimore Bullets,Washington Capitols,18 March 1948,L
Philadelphia Warriors,Providence Steamrollers,18 March 1948,W
Washington Capitols,New York Knicks,20 March 1948,W
St. Louis Bombers,Chicago Stags,20 March 1948,W
Baltimore Bullets,Providence Steamrollers,20 March 1948,W
Chicago Stags,St. Louis Bombers,21 March 1948,L
Chicago Stags,Washington Capitols,23 March 1948,W
Chicago Stags,Baltimore Bullets,25 March 1948,W
St. Louis Bombers,Philadelphia Warriors,23 March 1948,W
St. Louis Bombers,Philadelphia Warriors,25 March 1948,L
Philadelphia Warriors,St. Louis Bombers,27 March 1948,W
Baltimore Bullets,New York Knicks,27 March 1948,W
New York Knicks,Baltimore Bullets,28 March 1948,W
Boston Celtics,Chicago Stags,28 March 1948,L
Philadelphia Warriors,St. Louis Bombers,30 March 1948,L
Boston Celtics,Chicago Stags,31 March 1948,W
St. Louis Bombers,Philadelphia Warriors,01 April 1948,W
Baltimore Bullets,New York Knicks,01 April 1948,W
Boston Celtics,Chicago Stags,02 April 1948,L
Philadelphia Warriors,St. Louis Bombers,03 April 1948,W
St. Louis Bombers,Philadelphia Warriors,06 April 1948,L
Chicago Stags,Baltimore Bullets,07 April 1948,L
Baltimore Bullets,Chicago Stags,08 April 1948,W
Philadelphia Warriors,Baltimore Bullets,10 April 1948,W
Philadelphia Warriors,Baltimore Bullets,13 April 1948,L
Baltimore Bullets,Philadelphia Warriors,15 April 1948,W
Baltimore Bullets,Philadelphia Warriors,17 April 1948,W
Philadelphia Warriors,Baltimore Bullets,20 April 1948,W
Baltimore Bullets,Philadelphia Warriors,21 April 1948,W
Indianapolis Jets,St. Louis Bombers,01 November 1948,W
Washington Capitols,Philadelphia Warriors,03 November 1948,W
Ft. Wayne Zollner Pistons,New York Knicks,03 November 1948,L
Baltimore Bullets,Minneapolis Lakers,04 November 1948,L
Providence Steamrollers,Washington Capitols,04 November 1948,L
Philadelphia Warriors,Boston Celtics,04 November 1948,W
Indianapolis Jets,New York Knicks,05 November 1948,L
Rochester Royals,Indianapolis Jets,06 November 1948,W
Providence Steamrollers,Philadelphia Warriors,06 November 1948,L
Chicago Stags,Baltimore Bullets,06 November 1948,W
St. Louis Bombers,Ft. Wayne Zollner Pistons,06 November 1948,W
Washington Capitols,Minneapolis Lakers,06 November 1948,W
Ft. Wayne Zollner Pistons,Baltimore Bullets,07 November 1948,L
Boston Celtics,Philadelphia Warriors,07 November 1948,W
Philadelphia Warriors,Providence Steamrollers,09 November 1948,W
St. Louis Bombers,New York Knicks,09 November 1948,W
Indianapolis Jets,Baltimore Bullets,09 November 1948,L
Boston Celtics,Minneapolis Lakers,09 November 1948,W
Washington Capitols,Rochester Royals,10 November 1948,W
Philadelphia Warriors,Rochester Royals,11 November 1948,L
Providence Steamrollers,Ft. Wayne Zollner Pistons,11 November 1948,W
New York Knicks,Minneapolis Lakers,11 November 1948,L
Baltimore Bullets,Washington Capitols,11 November 1948,L
Boston Celtics,Ft. Wayne Zollner Pistons,12 November 1948,W
Washington Capitols,Ft. Wayne Zollner Pistons,13 November 1948,W
New York Knicks,Baltimore Bullets,13 November 1948,W
St. Louis Bombers,Philadelphia Warriors,13 November 1948,W
Rochester Royals,Boston Celtics,13 November 1948,W
Providence Steamrollers,Minneapolis Lakers,13 November 1948,L
Chicago Stags,Indianapolis Jets,13 November 1948,W
Ft. Wayne Zollner Pistons,Indianapolis Jets,14 November 1948,W
Rochester Royals,Minneapolis Lakers,14 November 1948,W
St. Louis Bombers,Boston Celtics,16 November 1948,W
Rochester Royals,New York Knicks,16 November 1948,W
Indianapolis Jets,Philadelphia Warriors,16 November 1948,L
Minneapolis Lakers,Boston Celtics,17 November 1948,L
New York Knicks,Washington Capitols,17 November 1948,L
Ft. Wayne Zollner Pistons,Philadelphia Warriors,17 November 1948,W
Providence Steamrollers,Rochester Royals,18 November 1948,L
Philadelphia Warriors,Indianapolis Jets,18 November 1948,W
Baltimore Bullets,New York Knicks,18 November 1948,L
Boston Celtics,Indianapolis Jets,19 November 1948,W
Chicago Stags,Minneapolis Lakers,19 November 1948,L
St. Louis Bombers,Baltimore Bullets,19 November 1948,W
Washington Capitols,Boston Celtics,20 November 1948,W
Providence Steamrollers,Indianapolis Jets,20 November 1948,L
St. Louis Bombers,Baltimore Bullets,20 November 1948,L
New York Knicks,Philadelphia Warriors,20 November 1948,W
Minneapolis Lakers,Baltimore Bullets,21 November 1948,W
Rochester Royals,Washington Capitols,21 November 1948,L
Ft. Wayne Zollner Pistons,Chicago Stags,21 November 1948,L
Rochester Royals,Baltimore Bullets,23 November 1948,W
Indianapolis Jets,Minneapolis Lakers,23 November 1948,L
Philadelphia Warriors,Ft. Wayne Zollner Pistons,23 November 1948,L
Boston Celtics,Washington Capitols,23 November 1948,L
Minneapolis Lakers,Providence Steamrollers,24 November 1948,W
Baltimore Bullets,Ft. Wayne Zollner Pistons,25 November 1948,W
Indianapolis Jets,Boston Celtics,25 November 1948,W
St. Louis Bombers,Providence Steamrollers,25 November 1948,W
Philadelphia Warriors,Washington Capitols,25 November 1948,L
Washington Capitols,Indianapolis Jets,27 November 1948,W
Rochester Royals,Chicago Stags,27 November 1948,W
St. Louis Bombers,Minneapolis Lakers,27 November 1948,L
Providence Steamrollers,Baltimore Bullets,27 November 1948,L
New York Knicks,Ft. Wayne Zollner Pistons,27 November 1948,W
Ft. Wayne Zollner Pistons,Boston Celtics,28 November 1948,W
Minneapolis Lakers,Philadelphia Warriors,28 November 1948,W
Minneapolis Lakers,Boston Celtics,30 November 1948,W
Chicago Stags,Philadelphia Warriors,30 November 1948,W
Indianapolis Jets,Ft. Wayne Zollner Pistons,30 November 1948,L
Providence Steamrollers,New York Knicks,30 November 1948,L
New York Knicks,Rochester Royals,01 December 1948,L
St. Louis Bombers,Chicago Stags,01 December 1948,W
Ft. Wayne Zollner Pistons,Minneapolis Lakers,01 December 1948,W
Washington Capitols,Providence Steamrollers,01 December 1948,W
Providence Steamrollers,Washington Capitols,02 December 1948,L
Baltimore Bullets,Indianapolis Jets,02 December 1948,W
Philadelphia Warriors,Boston Celtics,02 December 1948,L
Providence Steamrollers,Boston Celtics,04 December 1948,L
Washington Capitols,Baltimore Bullets,04 December 1948,W
Chicago Stags,Minneapolis Lakers,04 December 1948,W
Rochester Royals,Philadelphia Warriors,04 December 1948,W
New York Knicks,Indianapolis Jets,04 December 1948,W
St. Louis Bombers,Ft. Wayne Zollner Pistons,04 December 1948,W
Ft. Wayne Zollner Pistons,Chicago Stags,05 December 1948,L
Minneapolis Lakers,St. Louis Bombers,05 December 1948,W
Boston Celtics,Rochester Royals,06 December 1948,L
Indianapolis Jets,Washington Capitols,07 December 1948,W
Rochester Royals,Providence Steamrollers,07 December 1948,L
Philadelphia Warriors,Baltimore Bullets,08 December 1948,L
Minneapolis Lakers,Washington Capitols,08 December 1948,L
Ft. Wayne Zollner Pistons,St. Louis Bombers,08 December 1948,W
New York Knicks,Providence Steamrollers,08 December 1948,W
Baltimore Bullets,Philadelphia Warriors,09 December 1948,W
Providence Steamrollers,New York Knicks,09 December 1948,L
Chicago Stags,Ft. Wayne Zollner Pistons,10 December 1948,W
Rochester Royals,Minneapolis Lakers,10 December 1948,L
St. Louis Bombers,Washington Capitols,10 December 1948,W
New York Knicks,Baltimore Bullets,11 December 1948,W
Washington Capitols,St. Louis Bombers,11 December 1948,W
Ft. Wayne Zollner Pistons,New York Knicks,12 December 1948,L
Minneapolis Lakers,Rochester Royals,12 December 1948,W
Boston Celtics,St. Louis Bombers,13 December 1948,W
Chicago Stags,Baltimore Bullets,13 December 1948,W
Indianapolis Jets,New York Knicks,13 December 1948,L
Philadelphia Warriors,St. Louis Bombers,14 December 1948,W
Baltimore Bullets,Indianapolis Jets,14 December 1948,W
Chicago Stags,Rochester Royals,14 December 1948,L
Washington Capitols,Philadelphia Warriors,15 December 1948,W
Minneapolis Lakers,Indianapolis Jets,15 December 1948,W
Providence Steamrollers,Ft. Wayne Zollner Pistons,16 December 1948,L
Baltimore Bullets,St. Louis Bombers,16 December 1948,L
Philadelphia Warriors,New York Knicks,17 December 1948,W
Indianapolis Jets,Chicago Stags,17 December 1948,L
Boston Celtics,Baltimore Bullets,17 December 1948,L
Providence Steamrollers,Philadelphia Warriors,18 December 1948,L
Rochester Royals,Ft. Wayne Zollner Pistons,18 December 1948,W
Washington Capitols,Boston Celtics,18 December 1948,W
New York Knicks,St. Louis Bombers,18 December 1948,W
Boston Celtics,New York Knicks,19 December 1948,W
Ft. Wayne Zollner Pistons,Rochester Royals,19 December 1948,L
Minneapolis Lakers,Chicago Stags,19 December 1948,W
Indianapolis Jets,Rochester Royals,21 December 1948,L
Philadelphia Warriors,Minneapolis Lakers,21 December 1948,W
Washington Capitols,Providence Steamrollers,22 December 1948,W
New York Knicks,Minneapolis Lakers,22 December 1948,W
Baltimore Bullets,Chicago Stags,23 December 1948,W
Providence Steamrollers,St. Louis Bombers,23 December 1948,L
Indianapolis Jets,Ft. Wayne Zollner Pistons,23 December 1948,W
Rochester Royals,St. Louis Bombers,25 December 1948,W
Washington Capitols,Ft. Wayne Zollner Pistons,25 December 1948,W
Providence Steamrollers,Baltimore Bullets,25 December 1948,L
New York Knicks,Chicago Stags,25 December 1948,L
Philadelphia Warriors,Boston Celtics,25 December 1948,W
St. Louis Bombers,Indianapolis Jets,26 December 1948,W
Minneapolis Lakers,Rochester Royals,26 December 1948,W
Ft. Wayne Zollner Pistons,Washington Capitols,26 December 1948,W
Chicago Stags,Boston Celtics,26 December 1948,W
Boston Celtics,Chicago Stags,28 December 1948,L
Minneapolis Lakers,Washington Capitols,29 December 1948,W
New York Knicks,Rochester Royals,29 December 1948,W
Baltimore Bullets,Providence Steamrollers,29 December 1948,L
Baltimore Bullets,Rochester Royals,30 December 1948,W
Providence Steamrollers,Chicago Stags,30 December 1948,L
St. Louis Bombers,Washington Capitols,30 December 1948,L
Philadelphia Warriors,Indianapolis Jets,30 December 1948,W
Boston Celtics,Providence Steamrollers,31 December 1948,W
Washington Capitols,Chicago Stags,01 January 1949,W
Baltimore Bullets,Boston Celtics,01 January 1949,W
Minneapolis Lakers,Ft. Wayne Zollner Pistons,01 January 1949,W
Providence Steamrollers,Indianapolis Jets,01 January 1949,L
Rochester Royals,St. Louis Bombers,01 January 1949,W
New York Knicks,Philadelphia Warriors,01 January 1949,W
Chicago Stags,New York Knicks,02 January 1949,W
St. Louis Bombers,Rochester Royals,02 January 1949,L
Ft. Wayne Zollner Pistons,Boston Celtics,02 January 1949,L
Boston Celtics,Baltimore Bullets,04 January 1949,W
Philadelphia Warriors,Washington Capitols,04 January 1949,L
Chicago Stags,Providence Steamrollers,04 January 1949,W
Indianapolis Jets,New York Knicks,04 January 1949,W
Washington Capitols,Baltimore Bullets,05 January 1949,L
Minneapolis Lakers,St. Louis Bombers,05 January 1949,W
Baltimore Bullets,Philadelphia Warriors,06 January 1949,W
Providence Steamrollers,Chicago Stags,06 January 1949,L
Indianapolis Jets,Rochester Royals,06 January 1949,W
Boston Celtics,New York Knicks,07 January 1949,L
St. Louis Bombers,Minneapolis Lakers,08 January 1949,W
Washington Capitols,Indianapolis Jets,08 January 1949,W
Rochester Royals,Chicago Stags,08 January 1949,L
New York Knicks,Baltimore Bullets,08 January 1949,L
Philadelphia Warriors,Ft. Wayne Zollner Pistons,08 January 1949,L
Providence Steamrollers,Boston Celtics,08 January 1949,W
Minneapolis Lakers,St. Louis Bombers,09 January 1949,W
Chicago Stags,Rochester Royals,09 January 1949,L
Ft. Wayne Zollner Pistons,Indianapolis Jets,09 January 1949,W
Boston Celtics,Washington Capitols,10 January 1949,L
Indianapolis Jets,Providence Steamrollers,11 January 1949,W
Rochester Royals,Philadelphia Warriors,11 January 1949,W
Baltimore Bullets,Washington Capitols,12 January 1949,W
New York Knicks,Boston Celtics,12 January 1949,W
Minneapolis Lakers,Providence Steamrollers,12 January 1949,W
St. Louis Bombers,Chicago Stags,12 January 1949,L
Baltimore Bullets,Rochester Royals,13 January 1949,L
Indianapolis Jets,Chicago Stags,14 January 1949,L
Boston Celtics,Philadelphia Warriors,14 January 1949,L
St. Louis Bombers,Providence Steamrollers,15 January 1949,W
Chicago Stags,Boston Celtics,15 January 1949,W
Rochester Royals,Ft. Wayne Zollner Pistons,15 January 1949,W
Philadelphia Warriors,Baltimore Bullets,15 January 1949,W
Washington Capitols,New York Knicks,15 January 1949,W
Chicago Stags,Washington Capitols,16 January 1949,W
Minneapolis Lakers,Indianapolis Jets,16 January 1949,W
Ft. Wayne Zollner Pistons,Providence Steamrollers,16 January 1949,W
New York Knicks,St. Louis Bombers,17 January 1949,L
Philadelphia Warriors,Providence Steamrollers,18 January 1949,W
Indianapolis Jets,Minneapolis Lakers,18 January 1949,L
Boston Celtics,St. Louis Bombers,18 January 1949,L
Chicago Stags,Ft. Wayne Zollner Pistons,19 January 1949,L
Rochester Royals,Indianapolis Jets,19 January 1949,W
Providence Steamrollers,Washington Capitols,20 January 1949,L
St. Louis Bombers,Rochester Royals,20 January 1949,L
Philadelphia Warriors,Chicago Stags,20 January 1949,W
Minneapolis Lakers,Ft. Wayne Zollner Pistons,20 January 1949,W
Baltimore Bullets,New York Knicks,20 January 1949,W
Boston Celtics,Chicago Stags,21 January 1949,L
Rochester Royals,New York Knicks,22 January 1949,W
Providence Steamrollers,Baltimore Bullets,22 January 1949,W
Washington Capitols,Boston Celtics,22 January 1949,W
New York Knicks,Washington Capitols,23 January 1949,L
Minneapolis Lakers,Philadelphia Warriors,23 January 1949,W
Ft. Wayne Zollner Pistons,Rochester Royals,23 January 1949,L
St. Louis Bombers,Indianapolis Jets,23 January 1949,L
Boston Celtics,Providence Steamrollers,25 January 1949,L
Chicago Stags,Philadelphia Warriors,25 January 1949,L
Indianapolis Jets,St. Louis Bombers,25 January 1949,W
Baltimore Bullets,Washington Capitols,26 January 1949,W
New York Knicks,Providence Steamrollers,26 January 1949,W
Minneapolis Lakers,Chicago Stags,26 January 1949,W
Ft. Wayne Zollner Pistons,Philadelphia Warriors,26 January 1949,W
Philadelphia Warriors,New York Knicks,27 January 1949,W
Baltimore Bullets,Providence Steamrollers,27 January 1949,L
Indianapolis Jets,Ft. Wayne Zollner Pistons,28 January 1949,W
Boston Celtics,Washington Capitols,28 January 1949,W
Chicago Stags,St. Louis Bombers,28 January 1949,W
Rochester Royals,Baltimore Bullets,29 January 1949,W
St. Louis Bombers,Ft. Wayne Zollner Pistons,29 January 1949,W
New York Knicks,Philadelphia Warriors,29 January 1949,L
Providence Steamrollers,Boston Celtics,29 January 1949,W
Chicago Stags,Indianapolis Jets,29 January 1949,W
Minneapolis Lakers,Washington Capitols,31 January 1949,W
Ft. Wayne Zollner Pistons,Baltimore Bullets,31 January 1949,L
Indianapolis Jets,Washington Capitols,01 February 1949,W
Philadelphia Warriors,Providence Steamrollers,01 February 1949,W
Boston Celtics,Rochester Royals,01 February 1949,L
Ft. Wayne Zollner Pistons,Minneapolis Lakers,02 February 1949,L
Chicago Stags,Baltimore Bullets,02 February 1949,W
Washington Capitols,Indianapolis Jets,02 February 1949,W
Baltimore Bullets,Boston Celtics,03 February 1949,W
Philadelphia Warriors,Minneapolis Lakers,03 February 1949,L
Providence Steamrollers,Rochester Royals,03 February 1949,W
St. Louis Bombers,Washington Capitols,03 February 1949,L
Boston Celtics,Indianapolis Jets,04 February 1949,W
Washington Capitols,New York Knicks,05 February 1949,L
Baltimore Bullets,Indianapolis Jets,05 February 1949,W
Rochester Royals,Ft. Wayne Zollner Pistons,05 February 1949,W
Providence Steamrollers,Chicago Stags,05 February 1949,L
Minneapolis Lakers,Rochester Royals,06 February 1949,L
Ft. Wayne Zollner Pistons,Washington Capitols,06 February 1949,W
New York Knicks,Chicago Stags,06 February 1949,L
St. Louis Bombers,Philadelphia Warriors,06 February 1949,L
Boston Celtics,Baltimore Bullets,07 February 1949,W
Indianapolis Jets,Philadelphia Warriors,07 February 1949,W
Ft. Wayne Zollner Pistons,Philadelphia Warriors,08 February 1949,W
